15	15 
841	4	7	96	12	23	5	71	8	26	3	28	14	16	13	27	9	71	0	18	1	57	4	43	2	5	6	12	11	91	10	63
1103	4	8	32	0	81	5	95	13	79	6	55	1	45	4	60	2	73	3	23	11	44	10	92	12	20	9	5	14	72	7	73
1056	4	6	63	8	93	7	63	1	79	9	10	5	66	12	27	4	93	0	24	2	26	14	8	11	69	3	29	13	66	10	97
880	2	12	80	0	87	14	68	7	23	13	54	1	16	6	68	8	32	11	74	2	3	3	2	9	71	5	4	10	67	4	28
1081	2	8	46	2	96	12	11	11	41	10	93	9	2	4	98	3	10	14	43	5	65	0	27	7	57	6	75	13	87	1	81
1098	2	13	5	8	91	6	92	11	87	14	66	9	36	12	67	7	88	0	92	1	27	10	13	2	7	5	95	3	66	4	13
1082	2	4	90	1	33	2	78	13	76	7	93	6	67	0	82	8	94	12	12	14	5	10	85	9	42	5	4	3	2	11	70
934	2	4	79	10	24	14	41	3	83	6	45	13	29	11	3	9	42	0	5	5	44	1	83	12	59	8	60	7	78	2	44
991	2	7	19	1	55	5	20	4	74	14	66	8	37	0	55	9	63	12	40	3	73	10	55	2	84	13	54	11	62	6	6
770	2	3	27	6	59	13	6	4	90	5	6	10	37	2	64	8	35	12	25	11	59	9	77	7	30	14	1	1	7	0	70
938	2	1	4	4	53	7	6	2	10	14	51	10	89	12	38	13	38	6	35	5	44	9	99	0	88	3	52	8	16	11	99
884	2	0	28	7	11	14	76	13	51	8	35	3	60	6	44	9	39	5	66	12	49	10	40	4	34	1	80	2	38	11	29
988	1	14	31	10	32	0	40	8	25	12	40	13	85	4	39	11	61	1	15	3	41	6	93	5	64	2	16	9	81	7	97
1049	1	13	9	4	21	8	8	6	55	5	79	2	76	9	79	0	61	11	68	12	99	1	24	3	23	14	92	7	91	10	22
1054	1	14	80	2	30	6	67	4	58	3	45	11	29	1	48	5	28	7	64	0	63	8	80	10	23	9	93	12	55	13	48
