20	5 
408	4	1	23	0	82	4	84	2	45	3	38
238	4	3	50	4	41	1	29	0	18	2	21
318	4	4	16	3	54	1	52	2	38	0	52
426	4	1	62	3	57	4	37	2	74	0	54
445	2	3	68	1	61	2	30	0	81	4	57
523	2	1	89	2	89	3	11	0	79	4	81
345	2	1	66	0	91	3	33	4	20	2	20
304	2	3	8	4	24	2	55	0	32	1	84
330	2	0	7	2	64	1	39	4	56	3	54
235	2	0	19	4	40	3	7	2	8	1	83
396	2	0	63	2	64	3	91	4	40	1	6
435	2	1	42	3	61	4	15	2	98	0	74
411	2	1	80	0	26	3	75	4	6	2	87
306	2	2	39	4	22	0	75	3	24	1	44
201	2	1	15	3	79	4	8	0	12	2	20
348	2	3	26	2	43	0	80	4	22	1	61
445	1	2	62	1	36	0	63	3	96	4	40
132	1	1	33	3	18	0	22	4	5	2	10
612	1	2	64	4	64	0	89	1	96	3	95
153	1	2	18	4	23	3	15	1	38	0	8
