20	5 
274	4	0	6	2	40	1	81	3	37	4	19
325	4	2	40	3	32	0	55	4	81	1	9
469	4	1	46	4	65	2	70	3	55	0	77
285	4	2	21	4	65	0	64	3	25	1	15
345	2	2	85	0	40	1	44	3	24	4	37
474	2	0	89	4	29	1	83	3	31	2	84
322	2	4	59	3	38	1	80	2	30	0	8
526	2	0	80	2	56	1	77	4	41	3	97
427	2	4	56	0	91	3	50	2	71	1	17
411	2	1	40	0	88	4	59	2	7	3	80
325	2	0	45	1	29	2	8	4	77	3	58
307	2	2	36	0	54	3	96	1	9	4	10
567	2	0	28	2	73	1	98	3	92	4	87
567	2	0	70	3	86	2	27	1	99	4	96
504	2	1	95	0	59	4	56	3	85	2	41
444	2	1	81	2	92	4	32	0	52	3	39
283	1	1	7	4	22	2	12	0	88	3	60
424	1	3	45	0	93	2	69	4	49	1	27
390	1	0	21	1	84	2	61	3	68	4	26
493	1	1	82	2	33	4	71	0	99	3	44
