20	5 
335	4	2	34	1	21	0	53	3	55	4	95
241	4	0	21	3	52	1	71	4	16	2	26
288	4	0	12	1	42	2	31	4	98	3	39
460	4	2	66	3	77	4	79	0	55	1	77
308	2	0	83	4	37	3	34	1	19	2	64
429	2	4	79	2	43	0	92	3	62	1	54
536	2	0	93	4	77	2	87	1	87	3	69
319	2	4	83	3	24	1	41	2	38	0	60
302	2	4	25	1	49	0	44	2	98	3	17
481	2	0	96	1	75	2	43	4	77	3	79
313	2	0	95	3	76	1	7	4	28	2	35
273	2	4	10	2	95	0	61	1	9	3	35
352	2	1	91	2	59	4	59	0	46	3	16
260	2	2	27	1	52	4	43	0	28	3	50
287	2	4	9	0	87	3	41	2	39	1	45
262	2	1	54	0	20	4	43	3	14	2	71
262	1	4	33	1	28	3	26	0	78	2	37
309	1	1	89	0	33	2	8	3	66	4	42
452	1	4	84	0	69	2	94	1	74	3	27
479	1	4	81	2	45	1	78	3	69	0	96
