15	10 
650	4	9	66	5	91	4	87	2	94	7	21	3	92	1	7	0	12	8	11	6	19
507	4	3	13	2	20	4	7	1	14	9	66	0	75	6	77	5	16	7	95	8	7
653	4	8	77	7	20	2	34	0	15	9	88	5	89	6	53	3	6	1	45	4	76
804	2	3	27	2	74	6	88	4	62	7	52	8	69	5	9	9	98	0	52	1	88
643	2	4	88	6	15	1	52	2	61	7	54	0	62	8	59	5	9	3	90	9	5
760	2	6	71	0	41	4	38	3	53	7	91	8	68	1	50	5	78	2	23	9	72
513	2	3	95	9	36	6	66	5	52	0	45	8	30	4	23	2	25	7	17	1	6
790	2	4	65	1	8	8	85	0	71	7	65	6	28	5	88	3	76	9	27	2	95
672	2	9	37	1	37	4	28	3	51	8	86	2	9	6	55	0	73	7	51	5	90
555	2	3	39	2	15	6	83	9	44	7	53	0	16	4	46	5	24	1	25	8	82
729	2	1	72	4	48	0	87	2	66	9	5	6	54	7	39	8	35	5	95	3	60
564	2	1	46	3	20	0	97	2	21	9	46	7	37	8	19	4	59	6	34	5	55
535	1	5	23	3	25	6	78	1	24	0	28	7	83	8	28	9	5	2	73	4	45
555	1	1	37	0	53	7	87	4	38	3	71	5	29	9	12	8	33	6	55	2	12
583	1	4	90	8	17	2	49	3	83	1	40	6	23	7	65	9	27	5	7	0	48
