20	5 
261	4	3	5	4	58	2	44	0	9	1	58
664	4	1	89	4	96	0	97	2	84	3	77
553	4	2	81	3	85	1	87	4	39	0	77
295	4	0	15	3	57	4	73	1	21	2	31
417	2	2	48	4	71	3	70	0	40	1	49
342	2	0	10	4	82	3	34	2	80	1	22
367	2	2	17	0	55	1	91	4	75	3	7
340	2	3	47	2	62	1	72	4	35	0	11
559	2	1	90	2	94	4	50	0	64	3	75
277	2	3	15	2	67	0	12	4	20	1	71
448	2	4	93	2	29	0	52	1	57	3	68
457	2	3	77	1	93	0	58	2	70	4	7
409	2	1	63	3	27	0	95	4	6	2	82
379	2	4	36	0	26	3	48	2	56	1	87
256	2	2	36	1	8	4	15	3	76	0	36
463	2	4	78	1	84	3	41	0	30	2	76
502	1	1	78	0	75	4	88	3	13	2	81
327	1	0	54	4	40	2	13	1	82	3	29
258	1	1	26	4	82	0	52	3	6	2	6
438	1	3	54	1	64	0	54	2	32	4	88
