20	5
335	4	2	(33,34,35)	1	(19,21,23)	0	(52,53,54)	3	(49,55,61)	4	(83,95,107)
241	4	0	(20,21,22)	3	(50,52,54)	1	(61,71,81)	4	(16,16,16)	2	(24,26,28)
288	4	0	(11,12,13)	1	(38,42,46)	2	(27,31,35)	4	(85,98,111)	3	(39,39,39)
460	4	2	(61,66,71)	3	(72,77,82)	4	(72,79,86)	0	(52,55,58)	1	(69,77,85)
308	2	0	(73,83,93)	4	(34,37,40)	3	(30,34,38)	1	(18,19,20)	2	(57,64,71)
429	2	4	(72,79,86)	2	(43,43,43)	0	(90,92,94)	3	(56,62,68)	1	(50,54,58)
536	2	0	(85,93,101)	4	(74,77,80)	2	(85,87,89)	1	(84,87,90)	3	(63,69,75)
319	2	4	(79,83,87)	3	(23,24,25)	1	(38,41,44)	2	(36,38,40)	0	(60,60,60)
302	2	4	(25,25,25)	1	(49,49,49)	0	(44,44,44)	2	(88,98,108)	3	(15,17,19)
481	2	0	(96,96,96)	1	(69,75,81)	2	(42,43,44)	4	(69,77,85)	3	(79,79,79)
313	2	0	(88,95,102)	3	(74,76,78)	1	(7,7,7)	4	(27,28,29)	2	(31,35,39)
273	2	4	(10,10,10)	2	(83,95,107)	0	(61,61,61)	1	(9,9,9)	3	(34,35,36)
352	2	1	(91,91,91)	2	(55,59,63)	4	(52,59,66)	0	(42,46,50)	3	(16,16,16)
260	2	2	(25,27,29)	1	(46,52,58)	4	(42,43,44)	0	(28,28,28)	3	(47,50,53)
287	2	4	(8,9,10)	0	(81,87,93)	3	(38,41,44)	2	(35,39,43)	1	(43,45,47)
262	2	1	(50,54,58)	0	(19,20,21)	4	(43,43,43)	3	(13,14,15)	2	(71,71,71)
262	1	4	(32,33,34)	1	(28,28,28)	3	(25,26,27)	0	(75,78,81)	2	(34,37,40)
309	1	1	(78,89,100)	0	(32,33,34)	2	(8,8,8)	3	(57,66,75)	4	(39,42,45)
452	1	4	(83,84,85)	0	(66,69,72)	2	(94,94,94)	1	(73,74,75)	3	(24,27,30)
479	1	4	(76,81,86)	2	(43,45,47)	1	(74,78,82)	3	(65,69,73)	0	(89,96,103)
