20	20
1339	4	9	(14,14,14)	6	(54,62,70)	2	(28,32,36)	14	(78,81,84)	18	(64,65,66)	13	(51,53,55)	0	(29,31,33)	1	(85,98,111)	10	(34,34,34)	19	(25,27,29)	17	(60,60,60)	16	(38,43,48)	11	(28,30,32)	15	(22,24,26)	7	(61,61,61)	8	(38,40,42)	12	(7,7,7)	4	(14,15,16)	5	(49,50,51)	3	(10,10,10)
1451	4	10	(12,12,12)	5	(38,42,46)	17	(67,69,71)	19	(12,12,12)	4	(74,84,94)	11	(22,24,26)	9	(76,87,98)	12	(60,69,78)	0	(45,45,45)	7	(35,37,39)	8	(38,38,38)	15	(68,72,76)	1	(53,54,55)	6	(62,66,70)	13	(41,45,49)	14	(4,4,4)	2	(56,61,66)	3	(18,20,22)	16	(48,49,50)	18	(17,17,17)
1676	4	6	(55,60,65)	8	(43,45,47)	19	(33,34,35)	10	(73,74,75)	14	(64,65,66)	5	(64,75,86)	4	(85,92,99)	17	(63,69,75)	2	(35,40,45)	11	(23,26,29)	15	(64,69,74)	0	(30,30,30)	7	(18,18,18)	3	(77,88,99)	1	(44,49,54)	13	(61,68,75)	9	(24,25,26)	12	(1,1,1)	16	(88,95,102)	18	(23,25,27)
1822	4	11	(72,77,82)	4	(56,61,66)	17	(42,42,42)	15	(57,65,73)	8	(89,99,109)	13	(75,81,87)	9	(78,84,90)	6	(31,33,35)	16	(8,8,8)	19	(19,21,23)	0	(26,26,26)	7	(52,58,64)	1	(85,91,97)	10	(7,7,7)	18	(94,95,96)	3	(85,91,97)	2	(87,91,95)	5	(14,14,14)	12	(46,46,46)	14	(43,49,55)
1713	2	11	(59,62,65)	19	(86,88,90)	16	(2,2,2)	0	(11,12,13)	8	(63,68,73)	5	(88,99,110)	2	(45,46,47)	10	(33,35,37)	18	(76,87,98)	13	(53,53,53)	9	(60,60,60)	3	(50,54,58)	12	(96,99,102)	15	(57,59,61)	7	(10,10,10)	4	(31,34,37)	1	(60,67,74)	17	(29,31,33)	6	(52,52,52)	14	(49,53,57)
1446	2	11	(21,21,21)	9	(89,92,95)	16	(29,33,37)	7	(7,8,9)	6	(9,9,9)	15	(44,51,58)	1	(40,44,48)	19	(1,1,1)	10	(69,69,69)	18	(77,83,89)	8	(15,17,19)	17	(76,86,96)	2	(48,51,54)	14	(87,95,103)	4	(35,40,45)	12	(30,32,34)	13	(75,84,93)	3	(52,54,56)	0	(3,3,3)	5	(28,31,34)
1238	2	3	(40,46,52)	12	(82,87,92)	2	(42,45,48)	7	(57,62,67)	16	(9,10,11)	14	(17,19,21)	15	(3,3,3)	9	(66,69,72)	19	(50,51,52)	18	(50,56,62)	1	(20,20,20)	5	(49,51,53)	0	(35,41,47)	10	(12,12,12)	11	(6,6,6)	8	(43,45,47)	13	(17,17,17)	6	(2,2,2)	17	(84,93,102)	4	(38,39,40)
1315	2	18	(10,10,10)	12	(81,82,83)	0	(39,44,49)	9	(22,22,22)	3	(9,9,9)	7	(54,55,56)	16	(27,29,31)	8	(3,3,3)	4	(3,3,3)	17	(70,77,84)	11	(77,78,79)	10	(42,43,44)	5	(8,9,10)	2	(75,84,93)	14	(1,1,1)	15	(10,11,12)	6	(52,59,66)	19	(90,97,104)	1	(21,23,25)	13	(77,83,89)
1638	2	0	(3,3,3)	17	(77,89,101)	8	(31,34,37)	12	(4,4,4)	6	(84,94,104)	15	(10,10,10)	13	(88,90,92)	1	(15,16,17)	9	(16,18,20)	5	(49,55,61)	11	(59,69,79)	2	(36,39,42)	18	(93,99,105)	3	(69,77,85)	7	(59,65,71)	4	(51,55,59)	16	(24,27,30)	10	(78,84,90)	19	(84,94,104)	14	(2,2,2)
1830	2	11	(84,85,86)	18	(88,98,108)	5	(6,6,6)	6	(71,74,77)	0	(24,24,24)	10	(53,54,55)	2	(82,85,88)	1	(7,7,7)	15	(54,60,66)	14	(47,49,51)	3	(79,92,105)	12	(53,59,65)	4	(23,26,29)	19	(90,97,104)	16	(81,87,93)	8	(26,28,30)	13	(78,81,84)	7	(43,46,49)	17	(4,4,4)	9	(75,82,89)
