20	20
1650	4	6	(60,64,68)	1	(56,57,58)	15	(75,81,87)	2	(88,98,108)	19	(56,59,62)	13	(85,87,89)	16	(86,93,100)	18	(60,62,64)	3	(19,20,21)	12	(14,14,14)	14	(85,85,85)	5	(45,45,45)	10	(43,47,51)	7	(8,9,10)	8	(91,94,97)	9	(9,9,9)	0	(14,15,16)	17	(66,66,66)	11	(1,1,1)	4	(81,94,107)
1774	4	8	(34,39,44)	6	(89,96,103)	10	(87,88,89)	9	(75,83,91)	19	(67,77,87)	1	(54,58,62)	0	(74,83,92)	17	(3,3,3)	2	(74,78,82)	11	(64,68,72)	7	(64,64,64)	13	(92,97,102)	18	(33,33,33)	15	(23,25,27)	4	(47,47,47)	14	(44,44,44)	5	(7,7,7)	3	(57,60,63)	16	(36,42,48)	12	(81,91,101)
1614	4	1	(85,96,107)	3	(59,66,73)	4	(88,88,88)	12	(53,60,67)	0	(21,22,23)	14	(91,92,93)	7	(53,62,71)	19	(13,14,15)	10	(85,89,93)	11	(34,39,44)	5	(82,94,106)	18	(57,66,75)	13	(9,10,11)	15	(52,53,54)	16	(26,26,26)	8	(15,15,15)	9	(56,65,74)	2	(74,82,90)	17	(10,10,10)	6	(26,27,28)
1825	4	18	(91,93,95)	15	(88,92,96)	10	(85,96,107)	1	(67,70,73)	19	(80,83,86)	9	(73,74,75)	2	(28,31,34)	12	(83,88,93)	4	(51,51,51)	0	(55,57,59)	13	(78,78,78)	16	(8,8,8)	14	(7,7,7)	11	(90,91,92)	3	(69,79,89)	5	(16,18,20)	8	(44,51,58)	17	(17,18,19)	6	(87,99,111)	7	(32,33,34)
1377	2	2	(4,4,4)	10	(77,82,87)	12	(40,40,40)	15	(74,86,98)	7	(44,50,56)	14	(54,54,54)	17	(21,21,21)	5	(6,6,6)	8	(48,54,60)	1	(59,68,77)	13	(72,82,92)	0	(18,20,22)	3	(34,39,44)	16	(33,35,37)	4	(60,68,76)	9	(73,73,73)	11	(23,23,23)	18	(27,30,33)	6	(29,30,31)	19	(50,53,56)
1767	2	0	(94,94,94)	16	(50,58,66)	10	(87,93,99)	9	(30,32,34)	17	(90,91,92)	8	(28,30,32)	5	(51,56,61)	3	(27,27,27)	19	(92,92,92)	11	(8,9,10)	15	(70,78,86)	2	(20,23,26)	14	(20,21,22)	4	(55,60,65)	12	(35,36,37)	13	(28,29,30)	1	(92,95,98)	6	(92,99,106)	7	(77,79,81)	18	(75,76,77)
1672	2	11	(92,93,94)	0	(42,42,42)	1	(47,52,57)	19	(41,42,43)	9	(96,96,96)	10	(29,29,29)	8	(57,61,65)	17	(76,88,100)	18	(67,70,73)	16	(16,16,16)	4	(28,31,34)	3	(60,65,70)	12	(73,83,93)	7	(72,78,84)	6	(23,26,29)	15	(47,50,53)	5	(77,87,97)	14	(59,62,65)	2	(13,14,15)	13	(28,30,32)
1450	2	16	(18,18,18)	3	(67,75,83)	8	(19,20,21)	10	(4,4,4)	18	(81,91,101)	7	(59,68,77)	1	(19,19,19)	14	(52,54,56)	19	(76,85,94)	2	(64,73,82)	12	(40,43,46)	6	(22,24,26)	5	(37,37,37)	11	(84,87,90)	17	(64,66,68)	4	(31,32,33)	13	(48,52,56)	9	(9,9,9)	15	(48,49,50)	0	(61,61,61)
1678	2	17	(31,35,39)	18	(87,99,111)	15	(59,62,65)	11	(6,6,6)	10	(62,62,62)	12	(7,7,7)	14	(75,80,85)	3	(3,3,3)	1	(55,57,59)	0	(7,7,7)	16	(74,85,96)	9	(27,30,33)	6	(91,96,101)	19	(84,91,98)	7	(13,13,13)	8	(75,87,99)	4	(77,82,87)	2	(72,83,94)	13	(71,78,85)	5	(52,56,60)
1515	2	9	(80,85,90)	5	(7,8,9)	3	(64,66,68)	2	(85,88,91)	11	(13,15,17)	4	(5,5,5)	16	(56,59,62)	14	(27,30,33)	7	(52,60,68)	13	(41,41,41)	1	(17,17,17)	18	(61,66,71)	8	(84,89,94)	15	(75,78,81)	12	(86,88,90)	6	(60,69,78)	17	(45,45,45)	19	(79,82,85)	0	(6,6,6)	10	(13,13,13)
1524	2	5	(81,90,99)	9	(26,27,28)	18	(1,1,1)	0	(8,8,8)	3	(90,91,92)	16	(70,80,90)	6	(79,89,99)	1	(49,49,49)	2	(31,32,33)	11	(25,28,31)	15	(88,90,92)	19	(89,93,97)	7	(6,6,6)	8	(30,35,40)	4	(67,73,79)	10	(46,47,48)	12	(43,43,43)	17	(69,75,81)	14	(8,8,8)	13	(49,51,53)
1624	2	11	(3,3,3)	5	(79,84,89)	9	(33,34,35)	4	(26,28,30)	3	(56,60,64)	15	(62,69,76)	17	(45,45,45)	7	(63,67,71)	18	(54,58,62)	19	(86,87,88)	13	(61,65,69)	1	(57,62,67)	6	(85,97,109)	12	(19,20,21)	10	(31,31,31)	0	(30,33,36)	14	(32,33,34)	16	(70,77,84)	2	(45,50,55)	8	(75,80,85)
1402	2	15	(46,48,50)	3	(89,90,91)	4	(66,75,84)	7	(85,96,107)	18	(44,44,44)	13	(28,28,28)	19	(21,21,21)	9	(46,51,56)	2	(67,75,83)	10	(17,17,17)	11	(76,89,102)	14	(52,59,66)	6	(49,56,63)	17	(55,63,71)	12	(18,18,18)	16	(15,17,19)	0	(29,30,31)	8	(14,16,18)	1	(6,7,8)	5	(34,35,36)
1314	2	13	(53,57,61)	10	(16,16,16)	16	(38,42,46)	8	(33,34,35)	4	(33,37,41)	1	(26,26,26)	2	(65,68,71)	19	(72,73,74)	14	(5,5,5)	12	(8,8,8)	18	(12,12,12)	17	(76,87,98)	0	(73,83,93)	5	(20,20,20)	9	(92,97,102)	7	(19,20,21)	6	(80,85,90)	3	(58,61,64)	11	(9,9,9)	15	(34,36,38)
1144	2	0	(61,63,65)	5	(11,11,11)	4	(44,45,46)	19	(9,10,11)	14	(33,33,33)	8	(5,5,5)	1	(38,41,44)	16	(43,47,51)	15	(8,9,10)	10	(71,74,77)	12	(33,33,33)	2	(35,35,35)	11	(73,78,83)	6	(12,12,12)	7	(19,22,25)	18	(43,44,45)	13	(7,8,9)	3	(90,97,104)	17	(9,10,11)	9	(79,86,93)
1320	2	11	(30,33,36)	16	(57,60,63)	17	(21,21,21)	10	(85,96,107)	15	(63,69,75)	12	(33,34,35)	0	(85,94,103)	5	(15,15,15)	4	(23,23,23)	8	(74,84,94)	3	(15,16,17)	7	(53,55,57)	13	(50,50,50)	1	(5,5,5)	18	(57,59,61)	9	(34,35,36)	19	(12,12,12)	6	(50,57,64)	14	(10,11,12)	2	(44,51,58)
1146	1	7	(68,72,76)	8	(38,42,46)	5	(4,4,4)	13	(57,62,67)	19	(15,15,15)	16	(24,27,30)	11	(16,16,16)	1	(31,34,37)	14	(7,8,9)	18	(44,50,56)	10	(83,85,87)	6	(12,12,12)	3	(42,48,54)	15	(5,5,5)	4	(25,25,25)	2	(38,40,42)	0	(78,81,84)	9	(44,46,48)	17	(59,67,75)	12	(22,25,28)
1455	1	17	(76,83,90)	10	(83,92,101)	15	(22,25,28)	5	(35,40,45)	4	(20,21,22)	14	(4,4,4)	8	(37,43,49)	18	(36,38,40)	13	(53,60,67)	6	(23,24,25)	19	(3,3,3)	3	(25,28,31)	1	(77,86,95)	9	(60,68,76)	11	(51,55,59)	2	(89,91,93)	12	(94,97,100)	16	(19,19,19)	7	(66,73,80)	0	(18,20,22)
1716	1	14	(27,28,29)	3	(72,81,90)	16	(44,46,48)	0	(85,98,111)	10	(45,46,47)	18	(27,29,31)	4	(94,96,98)	1	(12,12,12)	5	(63,71,79)	19	(29,32,35)	12	(63,64,65)	9	(36,39,42)	11	(16,16,16)	15	(91,97,103)	13	(91,99,107)	7	(44,49,54)	17	(64,75,86)	8	(7,7,7)	6	(69,79,89)	2	(74,80,86)
1282	1	13	(71,71,71)	10	(8,9,10)	3	(11,11,11)	14	(8,8,8)	1	(4,4,4)	8	(42,47,52)	0	(80,93,106)	16	(76,82,88)	19	(6,6,6)	4	(48,49,50)	6	(7,7,7)	9	(23,24,25)	11	(92,92,92)	5	(12,13,14)	2	(86,86,86)	7	(72,80,88)	17	(32,34,36)	12	(72,75,78)	15	(32,35,38)	18	(28,29,30)
