20	5
261	4	3	(5,5,5)	4	(51,58,65)	2	(44,44,44)	0	(9,9,9)	1	(57,58,59)
664	4	1	(89,89,89)	4	(93,96,99)	0	(96,97,98)	2	(80,84,88)	3	(74,77,80)
553	4	2	(74,81,88)	3	(73,85,97)	1	(77,87,97)	4	(39,39,39)	0	(68,77,86)
295	4	0	(14,15,16)	3	(56,57,58)	4	(64,73,82)	1	(19,21,23)	2	(30,31,32)
417	2	2	(44,48,52)	4	(68,71,74)	3	(66,70,74)	0	(40,40,40)	1	(46,49,52)
342	2	0	(9,10,11)	4	(78,82,86)	3	(32,34,36)	2	(80,80,80)	1	(22,22,22)
367	2	2	(17,17,17)	0	(54,55,56)	1	(86,91,96)	4	(74,75,76)	3	(7,7,7)
340	2	3	(47,47,47)	2	(58,62,66)	1	(67,72,77)	4	(35,35,35)	0	(10,11,12)
559	2	1	(82,90,98)	2	(86,94,102)	4	(49,50,51)	0	(60,64,68)	3	(65,75,85)
277	2	3	(14,15,16)	2	(65,67,69)	0	(11,12,13)	4	(18,20,22)	1	(63,71,79)
448	2	4	(91,93,95)	2	(26,29,32)	0	(50,52,54)	1	(57,57,57)	3	(68,68,68)
457	2	3	(73,77,81)	1	(81,93,105)	0	(55,58,61)	2	(64,70,76)	4	(7,7,7)
409	2	1	(56,63,70)	3	(25,27,29)	0	(91,95,99)	4	(6,6,6)	2	(82,82,82)
379	2	4	(35,36,37)	0	(24,26,28)	3	(44,48,52)	2	(49,56,63)	1	(76,87,98)
256	2	2	(31,36,41)	1	(7,8,9)	4	(15,15,15)	3	(70,76,82)	0	(34,36,38)
463	2	4	(72,78,84)	1	(83,84,85)	3	(36,41,46)	0	(28,30,32)	2	(72,76,80)
502	1	1	(73,78,83)	0	(64,75,86)	4	(83,88,93)	3	(13,13,13)	2	(77,81,85)
327	1	0	(50,54,58)	4	(40,40,40)	2	(13,13,13)	1	(81,82,83)	3	(27,29,31)
258	1	1	(23,26,29)	4	(74,82,90)	0	(52,52,52)	3	(6,6,6)	2	(6,6,6)
438	1	3	(51,54,57)	1	(58,64,70)	0	(47,54,61)	2	(31,32,33)	4	(79,88,97)
