20	5
308	4	0	(26,29,32)	1	(9,9,9)	2	(44,49,54)	3	(57,62,67)	4	(38,44,50)
488	4	0	(38,43,48)	1	(74,75,76)	3	(68,69,70)	2	(40,46,52)	4	(66,72,78)
443	4	1	(85,91,97)	0	(37,39,41)	2	(90,90,90)	4	(12,12,12)	3	(40,45,50)
428	4	1	(76,81,86)	0	(62,71,80)	4	(9,9,9)	2	(83,85,87)	3	(21,22,23)
248	2	2	(13,14,15)	1	(19,22,25)	0	(24,26,28)	3	(20,21,22)	4	(72,72,72)
379	2	2	(81,84,87)	1	(48,52,56)	4	(43,48,53)	0	(46,47,48)	3	(6,6,6)
321	2	1	(45,46,47)	0	(58,61,64)	2	(28,32,36)	3	(31,32,33)	4	(28,30,32)
262	2	2	(29,31,33)	1	(42,46,50)	0	(29,32,35)	3	(18,19,20)	4	(33,36,39)
484	2	0	(72,76,80)	3	(70,76,82)	2	(78,85,92)	1	(40,40,40)	4	(24,26,28)
555	2	1	(77,85,93)	2	(54,61,68)	0	(61,64,67)	3	(46,47,48)	4	(86,90,94)
323	2	1	(75,78,81)	3	(32,36,40)	0	(11,11,11)	4	(53,56,59)	2	(20,21,22)
328	2	2	(81,90,99)	0	(11,11,11)	1	(28,28,28)	3	(44,46,48)	4	(29,30,31)
465	2	0	(80,85,90)	2	(67,74,81)	1	(10,10,10)	3	(85,89,93)	4	(33,33,33)
619	2	2	(84,95,106)	0	(93,99,105)	1	(52,52,52)	3	(96,98,100)	4	(38,43,48)
380	2	0	(6,6,6)	1	(54,61,68)	4	(60,69,78)	2	(42,49,56)	3	(51,53,55)
414	2	1	(2,2,2)	0	(92,95,98)	3	(71,72,73)	4	(59,65,71)	2	(23,25,27)
344	1	0	(36,37,38)	2	(12,13,14)	1	(19,21,23)	3	(82,89,96)	4	(49,55,61)
600	1	0	(78,86,94)	1	(67,74,81)	4	(88,88,88)	2	(45,48,51)	3	(71,79,87)
470	1	1	(68,69,70)	2	(47,51,55)	0	(11,11,11)	3	(78,89,100)	4	(68,74,80)
308	1	0	(12,13,14)	1	(7,7,7)	2	(68,76,84)	3	(47,52,57)	4	(43,45,47)
