10	10
632	4	0	(25,29,33)	1	(74,78,82)	2	(9,9,9)	3	(32,36,40)	4	(49,49,49)	5	(11,11,11)	6	(59,62,65)	7	(56,56,56)	8	(39,44,49)	9	(20,21,22)
816	4	0	(39,43,47)	2	(89,90,91)	4	(67,75,83)	9	(11,11,11)	3	(63,69,75)	1	(25,28,31)	6	(46,46,46)	5	(43,46,49)	7	(71,72,73)	8	(27,30,33)
908	2	1	(86,91,96)	0	(77,85,93)	3	(34,39,44)	2	(64,74,84)	8	(89,90,91)	5	(10,10,10)	7	(11,12,13)	6	(87,89,91)	9	(41,45,49)	4	(31,33,35)
1048	2	1	(79,81,83)	2	(94,95,96)	0	(62,71,80)	4	(92,99,106)	6	(9,9,9)	8	(46,52,58)	7	(74,85,96)	3	(90,98,106)	9	(21,22,23)	5	(41,43,45)
628	2	2	(13,14,15)	0	(6,6,6)	1	(22,22,22)	5	(53,61,69)	3	(25,26,27)	4	(64,69,74)	8	(20,21,22)	7	(46,49,52)	9	(72,72,72)	6	(46,53,60)
793	2	2	(75,84,93)	1	(2,2,2)	5	(52,52,52)	3	(89,95,101)	8	(43,48,53)	9	(70,72,74)	0	(44,47,50)	6	(62,65,68)	4	(6,6,6)	7	(23,25,27)
665	2	1	(43,46,49)	0	(34,37,40)	3	(60,61,62)	2	(13,13,13)	6	(28,32,36)	5	(20,21,22)	9	(29,32,35)	8	(83,89,95)	7	(29,30,31)	4	(54,55,56)
862	2	2	(29,31,33)	0	(86,86,86)	1	(46,46,46)	5	(65,74,83)	4	(29,32,35)	6	(79,88,97)	8	(17,19,21)	9	(45,48,51)	7	(35,36,37)	3	(69,79,89)
955	1	0	(72,76,80)	1	(63,69,75)	3	(67,76,85)	5	(51,51,51)	2	(77,85,93)	9	(10,11,12)	6	(36,40,44)	7	(83,89,95)	4	(26,26,26)	8	(73,74,75)
864	1	1	(81,85,89)	0	(13,13,13)	2	(58,61,64)	6	(7,7,7)	8	(59,64,69)	9	(70,76,82)	5	(46,47,48)	3	(50,52,54)	4	(82,90,98)	7	(41,45,49)
