15	10
666	4	2	(33,34,35)	3	(51,55,59)	5	(85,95,105)	9	(14,16,18)	4	(19,21,23)	6	(70,71,72)	0	(50,53,56)	8	(48,52,56)	1	(19,21,23)	7	(23,26,29)
864	4	3	(37,39,41)	2	(28,31,34)	0	(11,12,13)	1	(36,42,48)	9	(75,79,83)	8	(72,77,82)	6	(71,77,83)	5	(88,98,108)	4	(55,55,55)	7	(66,66,66)
850	4	1	(19,19,19)	0	(75,83,91)	3	(34,34,34)	4	(89,92,95)	6	(48,54,60)	9	(72,79,86)	8	(57,62,67)	5	(33,37,41)	2	(59,64,69)	7	(39,43,47)
988	2	4	(56,60,64)	2	(80,87,94)	8	(24,24,24)	5	(74,77,80)	3	(69,69,69)	7	(34,38,42)	1	(82,87,92)	6	(36,41,46)	9	(78,83,88)	0	(92,93,94)
904	2	8	(77,79,81)	9	(69,77,85)	2	(91,98,105)	4	(88,96,104)	3	(16,17,18)	0	(39,44,49)	7	(38,43,48)	6	(70,75,80)	1	(44,49,54)	5	(23,25,27)
676	2	8	(32,35,38)	7	(82,95,108)	6	(9,9,9)	9	(9,10,11)	2	(31,35,39)	1	(6,7,8)	5	(26,28,30)	4	(56,61,66)	0	(86,95,104)	3	(73,76,79)
706	2	4	(28,28,28)	5	(53,59,65)	3	(16,16,16)	9	(39,43,47)	0	(46,46,46)	8	(50,50,50)	6	(52,52,52)	7	(26,27,28)	2	(52,59,66)	1	(82,91,100)
634	2	5	(8,9,10)	4	(20,20,20)	2	(38,39,40)	6	(50,54,58)	1	(41,45,49)	7	(64,71,78)	0	(80,87,94)	3	(39,41,43)	9	(37,43,49)	8	(13,14,15)
660	2	1	(28,28,28)	5	(33,33,33)	0	(68,78,88)	3	(25,26,27)	2	(33,37,41)	7	(8,8,8)	8	(61,66,71)	6	(87,89,91)	9	(42,42,42)	4	(30,33,36)
1075	2	2	(81,94,107)	5	(72,84,96)	6	(69,78,87)	9	(77,81,85)	1	(74,74,74)	3	(26,27,28)	8	(60,69,78)	0	(60,69,78)	7	(40,45,50)	4	(94,96,98)
616	2	1	(30,31,32)	4	(23,24,25)	0	(20,20,20)	2	(16,17,18)	9	(24,25,26)	8	(81,81,81)	5	(75,76,77)	3	(79,87,95)	7	(28,32,36)	6	(17,18,19)
1011	2	5	(24,28,32)	9	(91,97,103)	0	(53,58,63)	4	(42,45,48)	6	(76,76,76)	3	(88,99,110)	2	(22,23,24)	1	(69,72,75)	8	(89,90,91)	7	(79,86,93)
723	1	5	(27,27,27)	9	(45,48,51)	8	(27,27,27)	7	(58,62,66)	4	(93,98,103)	6	(60,67,74)	3	(47,48,49)	0	(42,42,42)	1	(45,46,47)	2	(16,17,18)
861	1	1	(12,12,12)	8	(45,50,55)	0	(69,80,91)	2	(50,50,50)	9	(80,80,80)	3	(17,19,21)	5	(27,28,29)	6	(56,63,70)	4	(94,94,94)	7	(84,98,112)
753	1	4	(60,61,62)	3	(55,55,55)	6	(35,37,39)	5	(13,14,15)	2	(47,50,53)	8	(70,79,88)	1	(40,41,42)	9	(62,72,82)	7	(18,18,18)	0	(74,75,76)
