20	5
608	4	3	(56,60,64)	0	(85,87,89)	1	(68,72,76)	4	(91,95,99)	2	(62,66,70)
289	4	1	(54,54,54)	0	(48,48,48)	2	(37,39,41)	3	(31,35,39)	4	(5,5,5)
382	4	3	(20,20,20)	1	(40,46,52)	0	(91,97,103)	2	(21,21,21)	4	(54,55,56)
312	4	2	(33,37,41)	0	(55,59,63)	3	(18,19,20)	1	(33,34,35)	4	(42,46,50)
276	2	2	(72,73,74)	3	(25,25,25)	1	(24,24,24)	0	(24,28,32)	4	(23,23,23)
382	2	1	(74,78,82)	3	(27,28,29)	2	(74,83,92)	0	(40,45,50)	4	(5,5,5)
323	2	3	(62,71,80)	1	(37,37,37)	2	(12,12,12)	4	(29,29,29)	0	(53,53,53)
360	2	4	(11,12,13)	3	(32,33,34)	1	(53,55,57)	2	(79,87,95)	0	(37,38,39)
363	2	0	(47,48,49)	1	(38,40,42)	2	(43,49,55)	3	(74,83,92)	4	(7,7,7)
355	2	0	(80,90,100)	4	(27,27,27)	2	(58,65,72)	3	(16,17,18)	1	(23,23,23)
505	2	0	(57,62,67)	3	(75,85,95)	1	(65,66,67)	2	(78,84,90)	4	(18,19,20)
331	2	3	(59,59,59)	2	(45,46,47)	4	(13,13,13)	1	(61,64,67)	0	(25,25,25)
536	2	2	(47,53,59)	1	(72,73,74)	3	(78,80,82)	4	(83,88,93)	0	(35,41,47)
414	2	2	(53,57,61)	4	(43,47,51)	0	(14,14,14)	1	(61,67,73)	3	(74,74,74)
561	2	2	(40,41,42)	4	(56,64,72)	3	(73,84,95)	1	(73,78,83)	0	(78,84,90)
344	2	4	(49,52,55)	3	(25,28,31)	2	(25,26,27)	0	(57,63,69)	1	(44,46,48)
280	1	1	(11,11,11)	0	(62,64,66)	3	(10,10,10)	4	(73,73,73)	2	(15,17,19)
611	1	4	(33,38,43)	3	(81,95,109)	0	(76,85,94)	1	(90,97,104)	2	(65,67,69)
572	1	3	(81,93,105)	1	(59,65,71)	2	(86,95,104)	0	(51,59,67)	4	(45,46,47)
488	1	0	(57,60,63)	1	(81,85,89)	2	(42,43,44)	4	(85,85,85)	3	(28,32,36)
