20	15
402	4	6	(13,14,15)	5	(20,21,22)	8	(12,13,14)	4	(10,11,12)	1	(10,11,12)	14	(33,35,37)	13	(18,20,22)	11	(15,17,19)	10	(16,18,20)	12	(10,11,12)	2	(23,23,23)	3	(13,13,13)	0	(13,15,17)	7	(11,11,11)	9	(33,35,37)
474	4	1	(34,35,36)	5	(28,31,34)	0	(12,13,14)	3	(23,26,29)	6	(12,14,16)	9	(17,17,17)	7	(37,38,39)	12	(18,20,22)	10	(19,19,19)	13	(11,12,13)	8	(14,16,18)	4	(33,34,35)	11	(14,15,16)	14	(11,12,13)	2	(14,14,14)
700	4	0	(26,30,34)	4	(30,35,40)	2	(36,40,44)	10	(32,35,38)	6	(30,30,30)	14	(23,23,23)	8	(28,29,30)	13	(32,37,42)	7	(35,38,41)	3	(40,40,40)	9	(26,26,26)	12	(11,11,11)	1	(36,40,44)	11	(35,36,37)	5	(17,17,17)
505	4	7	(37,40,43)	5	(17,18,19)	4	(12,12,12)	8	(21,23,25)	0	(20,23,26)	9	(12,14,16)	13	(16,16,16)	12	(13,14,15)	10	(23,23,23)	3	(11,12,13)	6	(16,16,16)	14	(32,32,32)	1	(40,40,40)	11	(23,25,27)	2	(28,29,30)
613	2	2	(32,35,38)	3	(15,15,15)	12	(30,31,32)	11	(25,28,31)	6	(28,32,36)	4	(26,30,34)	10	(27,27,27)	7	(27,29,31)	0	(37,38,39)	13	(10,11,12)	1	(22,23,24)	14	(17,17,17)	5	(24,27,30)	9	(32,37,42)	8	(29,29,29)
685	2	5	(30,33,36)	3	(31,33,35)	6	(19,19,19)	12	(39,40,41)	10	(18,19,20)	0	(32,33,34)	13	(26,26,26)	2	(30,31,32)	11	(26,28,30)	7	(32,36,40)	4	(34,38,42)	1	(19,21,23)	14	(23,25,27)	9	(39,40,41)	8	(31,35,39)
574	2	13	(23,25,27)	0	(29,32,35)	11	(33,33,33)	12	(18,18,18)	4	(28,32,36)	6	(28,28,28)	5	(14,15,16)	3	(34,35,36)	9	(14,14,14)	2	(30,34,38)	7	(20,23,26)	10	(32,32,32)	1	(17,17,17)	14	(25,26,27)	8	(17,19,21)
606	2	2	(14,16,18)	12	(32,33,34)	9	(31,34,37)	11	(27,30,33)	13	(37,40,43)	8	(12,12,12)	14	(26,26,26)	5	(24,26,28)	6	(14,15,16)	3	(19,21,23)	1	(39,40,41)	4	(31,32,33)	0	(13,14,15)	7	(26,30,34)	10	(32,35,38)
504	2	2	(16,17,18)	10	(16,16,16)	14	(20,20,20)	6	(22,24,26)	8	(26,26,26)	3	(32,36,40)	12	(20,22,24)	0	(14,14,14)	13	(11,11,11)	9	(20,20,20)	7	(21,23,25)	1	(28,29,30)	11	(21,23,25)	4	(14,15,16)	5	(40,40,40)
592	2	4	(25,27,29)	9	(34,37,40)	3	(36,40,44)	11	(13,14,15)	13	(24,25,26)	7	(30,30,30)	0	(30,34,38)	2	(11,11,11)	5	(15,15,15)	12	(31,32,33)	1	(34,36,38)	10	(12,12,12)	14	(28,28,28)	8	(28,31,34)	6	(22,23,24)
480	2	13	(25,25,25)	0	(22,22,22)	3	(24,27,30)	8	(13,14,15)	5	(25,25,25)	6	(18,20,22)	14	(17,18,19)	7	(13,14,15)	1	(17,19,21)	2	(16,17,18)	4	(25,27,29)	9	(19,22,25)	12	(21,22,23)	11	(27,27,27)	10	(21,21,21)
618	2	14	(32,34,36)	10	(15,15,15)	0	(22,22,22)	3	(27,29,31)	13	(31,34,37)	6	(35,40,45)	7	(16,17,18)	2	(32,32,32)	12	(20,20,20)	5	(37,39,41)	4	(30,31,32)	11	(16,16,16)	1	(37,37,37)	8	(32,33,34)	9	(13,13,13)
454	2	6	(11,12,13)	12	(25,27,29)	4	(16,17,18)	2	(22,24,26)	8	(10,11,12)	5	(19,19,19)	14	(11,11,11)	3	(16,17,18)	9	(23,25,27)	1	(11,11,11)	11	(29,31,33)	13	(33,33,33)	7	(28,31,34)	10	(12,12,12)	0	(21,22,23)
526	2	5	(20,22,24)	14	(15,15,15)	0	(16,16,16)	8	(32,32,32)	7	(19,20,21)	4	(22,22,22)	9	(11,11,11)	13	(18,19,20)	1	(29,30,31)	12	(32,33,34)	6	(27,29,31)	11	(18,18,18)	3	(34,34,34)	10	(31,32,33)	2	(17,18,19)
538	2	5	(27,27,27)	3	(25,26,27)	10	(28,28,28)	6	(37,37,37)	4	(18,18,18)	12	(11,12,13)	11	(11,11,11)	13	(24,26,28)	7	(25,27,29)	9	(36,40,44)	14	(17,19,21)	1	(24,24,24)	2	(18,18,18)	0	(12,12,12)	8	(30,34,38)
519	2	8	(14,15,16)	5	(25,28,31)	9	(25,25,25)	6	(32,32,32)	1	(12,13,14)	7	(33,38,43)	11	(11,11,11)	2	(31,34,37)	4	(25,25,25)	0	(19,20,21)	10	(31,32,33)	3	(21,23,25)	12	(13,14,15)	14	(14,16,18)	13	(19,20,21)
535	1	1	(14,15,16)	4	(12,13,14)	8	(33,37,41)	3	(13,14,15)	10	(21,22,23)	5	(21,24,27)	12	(25,26,27)	7	(20,22,24)	9	(30,34,38)	14	(20,22,24)	11	(19,19,19)	13	(28,32,36)	0	(27,29,31)	2	(13,13,13)	6	(35,35,35)
603	1	7	(36,36,36)	5	(29,33,37)	13	(28,28,28)	9	(18,20,22)	10	(30,30,30)	4	(31,33,35)	14	(28,29,30)	0	(32,34,36)	3	(22,22,22)	11	(12,12,12)	6	(29,30,31)	8	(12,12,12)	1	(33,35,37)	2	(12,13,14)	12	(30,35,40)
579	1	14	(26,26,26)	11	(31,31,31)	5	(32,35,38)	2	(33,38,43)	13	(17,19,21)	10	(35,35,35)	4	(24,27,30)	8	(25,29,33)	3	(35,39,43)	9	(13,13,13)	6	(13,14,15)	7	(24,26,28)	0	(17,17,17)	1	(21,22,23)	12	(15,15,15)
651	1	1	(33,36,39)	7	(32,34,36)	11	(30,33,36)	8	(17,17,17)	14	(33,38,43)	6	(38,39,40)	5	(16,16,16)	3	(27,27,27)	13	(28,29,30)	2	(15,16,17)	0	(16,16,16)	4	(17,19,21)	9	(36,40,44)	12	(33,35,37)	10	(39,39,39)
