30	20
19	(46,49,52)	12	(87,91,95)	14	(1,1,1)	10	(34,37,40)	15	(32,32,32)	7	(68,69,70)	11	(53,56,59)	17	(58,65,72)	1	(40,45,50)	5	(57,66,75)	8	(16,17,18)	0	(70,72,74)	18	(36,38,40)	2	(57,64,71)	3	(19,20,21)	4	(61,68,75)	9	(71,71,71)	13	(46,51,56)	6	(17,17,17)	16	(25,26,27)
10	(51,59,67)	5	(40,43,46)	11	(85,90,95)	8	(47,51,55)	16	(91,96,101)	6	(60,62,64)	19	(33,35,37)	15	(6,6,6)	0	(50,54,58)	13	(75,81,87)	1	(3,3,3)	17	(79,80,81)	3	(82,94,106)	7	(34,39,44)	18	(36,37,38)	4	(20,21,22)	2	(50,52,54)	14	(48,51,54)	9	(33,36,39)	12	(83,89,95)
15	(50,57,64)	19	(90,90,90)	10	(29,34,39)	5	(36,37,38)	6	(53,60,67)	7	(48,51,54)	3	(24,27,30)	9	(28,29,30)	1	(50,53,56)	16	(20,20,20)	17	(42,45,48)	11	(15,16,17)	14	(2,2,2)	12	(21,24,27)	4	(33,34,35)	18	(17,18,19)	2	(2,2,2)	8	(72,75,78)	13	(69,78,87)	0	(41,46,51)
13	(29,33,37)	9	(15,15,15)	14	(66,68,70)	18	(19,19,19)	1	(40,43,46)	11	(7,7,7)	19	(2,2,2)	2	(17,19,21)	3	(13,15,17)	4	(51,58,65)	10	(73,80,87)	5	(47,48,49)	12	(49,49,49)	17	(71,82,93)	6	(61,63,65)	8	(24,26,28)	16	(4,4,4)	0	(38,38,38)	15	(62,62,62)	7	(36,41,46)
3	(80,82,84)	2	(61,63,65)	10	(65,72,79)	8	(42,47,52)	1	(53,56,59)	4	(89,89,89)	5	(65,71,77)	15	(81,91,101)	12	(66,75,84)	11	(92,93,94)	13	(57,59,61)	7	(54,58,62)	0	(19,20,21)	16	(77,84,91)	17	(62,63,64)	9	(44,50,56)	6	(41,48,55)	19	(80,85,90)	14	(36,39,42)	18	(40,45,50)
19	(54,56,58)	11	(31,32,33)	6	(32,34,36)	9	(30,30,30)	7	(38,40,42)	18	(64,67,70)	13	(30,30,30)	14	(48,49,50)	15	(17,17,17)	0	(15,17,19)	16	(14,15,16)	8	(54,58,62)	12	(43,47,51)	3	(14,15,16)	10	(20,21,22)	1	(70,74,78)	5	(76,85,94)	17	(7,7,7)	2	(37,41,45)	4	(77,79,81)
15	(5,5,5)	10	(73,76,79)	5	(48,48,48)	9	(53,58,63)	19	(22,23,24)	0	(39,44,49)	8	(56,63,70)	18	(52,56,60)	12	(52,59,66)	13	(68,72,76)	6	(33,34,35)	4	(74,82,90)	17	(76,86,96)	14	(43,43,43)	7	(63,70,77)	2	(36,41,46)	1	(96,97,98)	16	(56,57,58)	3	(38,38,38)	11	(22,24,26)
19	(51,59,67)	5	(30,34,38)	14	(65,66,67)	3	(18,20,22)	4	(12,13,14)	12	(86,88,90)	15	(88,95,102)	13	(6,6,6)	6	(61,68,75)	18	(35,41,47)	7	(50,51,52)	9	(18,20,22)	11	(72,80,88)	1	(1,1,1)	16	(38,43,48)	10	(6,6,6)	17	(34,37,40)	0	(34,34,34)	2	(66,72,78)	8	(57,62,67)
12	(55,55,55)	5	(59,59,59)	19	(48,53,58)	10	(65,74,83)	8	(70,77,84)	11	(69,72,75)	0	(68,76,84)	17	(95,95,95)	4	(64,66,68)	6	(2,2,2)	13	(23,26,29)	9	(52,53,54)	16	(37,41,45)	3	(28,28,28)	2	(24,26,28)	14	(63,69,75)	7	(66,74,82)	15	(54,60,66)	1	(70,79,88)	18	(5,5,5)
9	(57,63,69)	15	(82,94,106)	12	(82,86,90)	5	(92,97,102)	3	(90,94,98)	13	(79,82,85)	19	(87,88,89)	8	(25,25,25)	16	(10,10,10)	4	(67,72,77)	18	(37,39,41)	17	(48,49,50)	7	(5,5,5)	2	(35,38,41)	6	(84,85,86)	0	(38,42,46)	10	(83,89,95)	1	(19,22,25)	14	(30,34,38)	11	(17,18,19)
1	(55,62,69)	19	(64,65,66)	18	(22,25,28)	10	(66,74,82)	6	(44,48,52)	2	(63,73,83)	15	(87,92,97)	14	(59,69,79)	7	(2,2,2)	17	(17,17,17)	11	(73,79,85)	13	(70,81,92)	5	(51,55,59)	12	(37,37,37)	16	(71,79,87)	4	(83,95,107)	0	(94,94,94)	9	(28,31,34)	3	(16,16,16)	8	(39,44,49)
