50	10 
690	4	4	69	0	37	3	64	1	1	2	65	9	34	5	67	8	43	7	72	6	79
533	4	1	11	0	7	3	68	4	43	2	52	6	29	9	71	7	81	8	12	5	36
448	4	4	90	3	29	1	1	2	1	0	14	8	38	5	13	9	21	7	41	6	97
521	4	1	46	0	26	4	83	2	36	3	20	9	4	8	23	7	65	5	56	6	42
821	4	4	46	0	39	2	92	3	53	1	62	9	68	7	65	8	74	6	87	5	46
713	4	4	13	1	44	3	43	2	67	0	75	6	5	9	94	5	95	7	28	8	85
627	4	1	1	2	99	4	36	3	86	0	65	8	32	5	17	7	71	6	15	9	61
608	4	2	18	4	63	3	15	0	59	1	33	7	95	5	63	6	85	8	34	9	3
399	4	4	13	2	25	0	82	3	23	1	26	7	22	9	35	8	16	6	24	5	41
505	4	3	1	1	7	0	21	2	73	4	39	6	32	7	77	5	29	8	89	9	21
552	2	1	53	3	27	4	55	0	16	2	64	5	78	9	32	8	60	7	20	6	20
720	2	1	71	2	54	3	21	0	20	4	23	9	40	5	99	7	61	6	94	8	71
770	2	2	76	4	72	3	91	0	75	1	7	6	53	8	32	7	71	5	63	9	53
557	2	2	12	1	3	4	35	0	64	3	30	5	94	8	67	7	31	6	79	9	14
669	2	4	63	1	28	3	87	0	89	2	52	8	2	9	21	7	92	6	44	5	37
765	2	0	79	1	65	4	35	3	78	2	17	8	90	5	54	9	91	7	57	6	23
651	2	3	20	1	93	4	61	0	76	2	23	5	10	8	34	7	20	9	87	6	77
529	2	0	37	2	17	1	92	4	30	3	59	5	47	8	7	7	45	6	13	9	60
724	2	4	90	3	74	0	46	2	36	1	2	6	9	5	83	8	90	7	88	9	39
681	2	3	83	0	85	2	20	4	88	1	94	6	14	5	16	7	62	9	53	8	9
618	2	0	4	4	16	2	64	1	60	3	79	5	37	6	49	7	67	9	95	8	5
512	2	3	32	0	86	1	5	4	66	2	77	7	15	5	68	9	40	8	1	6	4
465	2	0	2	1	48	4	23	3	25	2	58	9	55	7	14	8	21	6	85	5	27
878	2	1	71	4	92	3	99	2	56	0	81	7	79	6	66	9	42	8	47	5	43
651	2	1	77	4	85	3	72	2	19	0	71	5	34	7	9	9	14	6	62	8	58
596	2	4	38	0	3	2	61	3	98	1	76	5	14	9	56	8	26	7	43	6	44
748	2	1	68	4	54	0	62	2	93	3	22	6	57	7	79	9	19	5	77	8	45
638	2	2	62	1	96	4	56	0	68	3	24	5	41	6	19	7	2	8	73	9	50
655	2	2	86	0	53	3	3	1	89	4	37	7	100	5	59	9	23	6	19	8	35
946	2	3	90	4	94	0	21	2	78	1	85	5	94	6	90	8	28	9	92	7	56
721	2	4	85	2	97	0	8	3	27	1	86	9	26	7	5	8	96	5	68	6	57
469	2	0	58	3	4	4	49	2	1	1	79	8	10	6	44	9	87	5	16	7	13
668	2	3	85	0	24	4	23	1	41	2	59	8	20	6	52	5	58	9	75	7	77
884	2	0	47	1	89	2	68	4	88	3	17	6	48	8	84	9	100	5	92	7	47
614	2	1	30	0	1	3	61	4	20	2	73	8	78	7	41	9	52	5	43	6	74
691	2	0	11	4	58	3	66	2	67	1	18	8	42	7	88	9	49	5	62	6	71
410	2	4	5	2	51	3	67	1	20	0	11	7	37	6	42	8	25	9	57	5	1
599	2	0	58	4	83	2	9	3	68	1	21	6	28	9	77	5	19	7	32	8	66
670	2	3	85	2	58	0	65	1	80	4	50	7	79	5	43	8	29	9	9	6	18
720	2	3	74	2	29	0	11	1	23	4	34	7	84	8	57	5	77	6	83	9	82
673	1	2	6	4	67	0	97	3	66	1	21	8	90	9	46	6	12	5	17	7	96
703	1	4	34	1	5	2	13	0	100	3	12	8	63	7	59	5	75	6	91	9	89
666	1	1	30	2	66	0	33	3	70	4	16	6	80	5	58	8	8	7	86	9	66
624	1	3	55	0	46	2	1	1	77	4	19	7	85	9	32	6	59	5	37	8	69
556	1	2	3	0	16	1	48	4	8	3	51	7	72	6	19	8	58	9	59	5	94
535	1	3	30	4	23	1	92	0	18	2	19	9	32	6	57	5	50	7	64	8	27
659	1	2	18	0	72	4	92	1	6	3	67	8	100	6	32	9	14	5	51	7	55
923	1	4	48	0	87	1	96	2	58	3	83	8	77	5	26	7	77	9	72	6	86
751	1	1	80	4	5	0	50	3	65	2	85	7	88	5	47	6	33	8	50	9	75
774	1	1	78	0	96	4	80	3	5	2	99	9	58	5	38	7	29	8	69	6	44
