20	5 
289	4	0	29	1	9	2	49	3	62	4	44
457	4	0	43	1	75	3	69	2	46	4	72
415	4	1	91	0	39	2	90	4	12	3	45
402	4	1	81	0	71	4	9	2	85	3	22
232	2	2	14	1	22	0	26	3	21	4	72
355	2	2	84	1	52	4	48	0	47	3	6
301	2	1	46	0	61	2	32	3	32	4	30
246	2	2	31	1	46	0	32	3	19	4	36
454	2	0	76	3	76	2	85	1	40	4	26
520	2	1	85	2	61	0	64	3	47	4	90
303	2	1	78	3	36	0	11	4	56	2	21
307	2	2	90	0	11	1	28	3	46	4	30
436	2	0	85	2	74	1	10	3	89	4	33
580	2	2	95	0	99	1	52	3	98	4	43
357	2	0	6	1	61	4	69	2	49	3	53
388	2	1	2	0	95	3	72	4	65	2	25
322	1	0	37	2	13	1	21	3	89	4	55
562	1	0	86	1	74	4	88	2	48	3	79
441	1	1	69	2	51	0	11	3	89	4	74
289	1	0	13	1	7	2	76	3	52	4	45
